F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,F13,F14,F15,F16,F19,Classe
1,24,26,2,2,44,1.0909090909090908,1.1304347826086956,6,0,40,0,22,23,14,0.9988455357066628,2,Humana
0,27,23,2,2,41,1.2857142857142858,1.0952380952380953,5,0,34,0,21,21,15,0.9953784385316868,6,Humana
0,27,23,7,4,24,2.076923076923077,1.9166666666666667,1,0,12,3,13,12,18,0.9953784385316868,14,Aleatória
1,21,29,7,7,27,1.5,2.0714285714285716,3,1,19,0,14,14,17,0.9814538947451146,7,Aleatória
1,22,28,4,6,27,1.5714285714285714,2.0,3,1,18,2,14,14,18,0.9895875209335165,8,Humana
1,24,26,4,4,24,2.0,2.0,0,0,11,0,12,13,17,0.9988455357066628,12,Aleatória
-1,25,25,3,4,36,1.3157894736842106,1.3888888888888888,5,0,30,1,19,18,17,0.9999999997114609,6,Humana
1,23,27,3,6,25,1.7692307692307692,2.076923076923077,1,1,13,3,13,13,17,0.9953784385316868,10,Aleatória
1,22,28,3,3,31,1.375,1.75,3,0,17,0,16,16,18,0.9895875209335165,6,Aleatória
1,23,27,4,6,26,1.7692307692307692,1.9285714285714286,0,1,13,2,13,14,18,0.9953784385316868,10,Aleatória
0,29,21,4,5,28,2.0714285714285716,1.4,2,1,16,1,14,15,17,0.9814538947451146,15,Aleatória
0,40,10,35,6,10,6.666666666666667,2.0,1,1,9,29,6,5,15,0.7219280945988233,34,Humana
0,30,20,5,4,20,3.0,1.8181818181818181,1,0,7,1,10,11,15,0.9709505941661296,20,Humana
0,27,23,4,4,26,1.9285714285714286,1.7692307692307692,1,0,14,0,14,13,17,0.9953784385316868,13,Aleatória
0,27,23,4,5,20,2.7,2.090909090909091,0,1,8,1,10,11,17,0.9953784385316868,17,Aleatória
-1,25,25,7,7,22,2.0833333333333335,2.272727272727273,2,1,12,0,12,11,17,0.9999999997114609,13,Aleatória
1,19,31,3,6,28,1.3571428571428572,2.066666666666667,2,1,18,3,14,15,17,0.9580420219377606,5,Aleatória
1,24,26,3,4,29,1.6,1.7333333333333334,2,0,17,1,15,15,18,0.9988455357066628,9,Humana
0,33,17,4,3,26,2.357142857142857,1.3076923076923077,1,0,15,1,14,13,17,0.924818704684491,19,Humana
0,37,13,7,3,19,3.7,1.3,0,0,9,4,10,10,17,0.8267463722040789,27,Aleatória
1,19,31,4,7,21,1.7272727272727273,2.8181818181818183,1,2,11,3,11,11,17,0.9580420219377606,8,Aleatória
1,24,26,5,4,25,1.8461538461538463,2.0,3,0,15,1,13,13,18,0.9988455357066628,11,Aleatória
0,26,24,3,2,36,1.368421052631579,1.3333333333333333,4,0,25,1,19,18,17,0.9988455357066628,7,Humana
0,29,21,5,4,25,2.230769230769231,1.6153846153846154,1,0,13,1,13,13,18,0.9814538947451146,16,Aleatória
-1,25,25,7,8,23,2.0833333333333335,2.0833333333333335,2,2,19,1,12,12,18,0.9999999997114609,13,Humana
0,27,23,3,3,39,1.35,1.15,4,0,32,0,20,20,16,0.9953784385316868,7,Humana
1,22,28,2,4,34,1.2222222222222223,1.6470588235294117,4,0,22,2,18,17,17,0.9895875209335165,4,Humana
0,26,24,8,3,28,1.8571428571428572,1.6,2,0,17,5,14,15,18,0.9988455357066628,12,Aleatória
0,28,22,8,5,27,2.0,1.5714285714285714,3,1,21,3,14,14,18,0.9895875209335165,14,Humana
1,24,26,3,3,28,1.7142857142857142,1.7333333333333334,2,0,16,0,14,15,17,0.9988455357066628,10,Aleatória
0,27,23,5,4,24,2.25,1.7692307692307692,0,0,11,1,12,13,18,0.9953784385316868,15,Aleatória
0,48,2,48,1,2,48.0,1.0,0,0,2,47,1,2,11,0.24229218879387582,47,Humana
1,24,26,4,7,19,2.4,2.6,0,2,8,3,10,10,18,0.9988455357066628,14,Aleatória
0,26,24,9,8,25,2.0,1.8461538461538463,3,1,20,1,13,13,18,0.9988455357066628,13,Humana
1,24,26,7,9,22,2.1818181818181817,2.1666666666666665,2,2,18,2,11,12,18,0.9988455357066628,13,Humana
1,21,29,4,5,26,1.5,2.230769230769231,2,1,17,1,14,13,18,0.9814538947451146,7,Humana
1,23,27,3,4,32,1.3529411764705883,1.6875,2,0,24,1,17,16,17,0.9953784385316868,6,Aleatória
0,28,22,5,4,27,2.0,1.5714285714285714,1,0,16,1,14,14,18,0.9895875209335165,14,Humana
0,30,20,3,2,36,1.5789473684210527,1.1111111111111112,3,0,26,1,19,18,17,0.9709505941661296,11,Humana
1,24,26,3,2,40,1.2,1.2380952380952381,6,0,33,1,20,21,15,0.9988455357066628,4,Humana
0,26,24,6,5,26,2.0,1.7142857142857142,2,1,17,1,13,14,18,0.9988455357066628,13,Humana
1,24,26,4,7,25,1.8461538461538463,2.0,2,1,15,3,13,13,18,0.9988455357066628,11,Humana
-1,25,25,4,7,22,2.0833333333333335,2.272727272727273,1,2,10,3,12,11,18,0.9999999997114609,13,Aleatória
-1,25,25,4,5,28,1.6666666666666667,1.7857142857142858,1,1,17,1,15,14,17,0.9999999997114609,10,Aleatória
1,22,28,3,4,24,1.8333333333333333,2.1538461538461537,1,0,11,1,12,13,18,0.9895875209335165,10,Aleatória
1,20,30,3,5,21,1.8181818181818181,2.727272727272727,0,1,8,2,11,11,17,0.9709505941661296,9,Aleatória
1,16,34,3,10,26,1.2307692307692308,2.4285714285714284,5,2,18,7,13,14,17,0.9043814574359548,3,Humana
0,27,23,5,4,30,1.6875,1.5333333333333334,3,0,20,1,16,15,18,0.9953784385316868,11,Aleatória
1,13,37,3,8,17,1.4444444444444444,4.111111111111111,0,4,9,5,9,9,16,0.8267463722040789,4,Aleatória
-1,25,25,4,4,22,2.272727272727273,2.0833333333333335,0,0,9,0,11,12,18,0.9999999997114609,14,Aleatória
0,27,23,7,5,23,2.25,1.9166666666666667,0,2,12,2,12,12,18,0.9953784385316868,15,Aleatória
0,28,22,8,8,19,2.8,2.2,1,1,8,0,10,10,18,0.9895875209335165,18,Aleatória
0,28,22,3,3,37,1.4736842105263157,1.1578947368421053,3,0,28,0,19,19,16,0.9895875209335165,9,Humana
-1,25,25,4,5,24,2.0833333333333335,1.9230769230769231,1,1,14,1,12,13,18,0.9999999997114609,13,Humana
0,26,24,8,8,23,2.1666666666666665,2.0,1,1,11,0,12,12,18,0.9988455357066628,14,Humana
-1,25,25,6,4,25,1.9230769230769231,1.9230769230769231,2,0,14,2,13,13,18,0.9999999997114609,12,Aleatória
0,33,17,6,2,23,2.75,1.4166666666666667,0,0,9,4,12,12,17,0.924818704684491,21,Aleatória
-1,25,25,7,3,28,1.7857142857142858,1.6666666666666667,3,0,16,4,14,15,18,0.9999999997114609,11,Aleatória
1,21,29,3,5,27,1.5,2.0714285714285716,3,1,18,2,14,14,17,0.9814538947451146,7,Humana
-1,25,25,4,4,36,1.3157894736842106,1.3888888888888888,6,0,32,0,19,18,18,0.9999999997114609,6,Humana
0,44,6,15,2,8,11.0,1.2,0,0,4,13,4,5,13,0.5293608649988253,40,Humana
-1,25,25,3,4,34,1.4705882352941178,1.3888888888888888,4,0,27,1,17,18,17,0.9999999997114609,8,Humana
0,26,24,5,5,25,2.0,1.8461538461538463,2,2,15,0,13,13,18,0.9988455357066628,13,Aleatória
0,26,24,4,4,22,2.3636363636363638,2.0,0,0,7,0,11,12,18,0.9988455357066628,15,Aleatória
1,22,28,2,7,26,1.5714285714285714,2.1538461538461537,1,1,12,5,14,13,18,0.9895875209335165,8,Aleatória
1,21,29,3,7,25,1.6153846153846154,2.230769230769231,1,2,13,4,13,13,18,0.9814538947451146,8,Aleatória
1,22,28,3,5,22,2.0,2.3333333333333335,0,2,7,2,11,12,18,0.9895875209335165,11,Aleatória
0,31,19,4,3,22,2.5833333333333335,1.7272727272727273,1,0,7,1,12,11,17,0.9580420219377606,19,Aleatória
1,20,30,5,10,23,1.6666666666666667,2.5,2,2,13,5,12,12,17,0.9709505941661296,8,Humana
0,26,24,15,18,13,3.7142857142857144,3.4285714285714284,2,3,11,3,7,7,17,0.9988455357066628,19,Humana
1,20,30,3,5,23,1.6666666666666667,2.5,1,4,12,2,12,12,17,0.9709505941661296,8,Humana
1,22,28,4,6,22,2.0,2.3333333333333335,1,1,10,2,11,12,18,0.9895875209335165,11,Aleatória
0,28,22,4,4,33,1.6470588235294117,1.2941176470588236,4,0,25,0,17,17,17,0.9895875209335165,11,Humana
1,20,30,2,5,34,1.1764705882352942,1.6666666666666667,5,1,25,3,17,18,17,0.9709505941661296,3,Aleatória
0,26,24,6,3,28,1.8571428571428572,1.6,1,0,16,3,14,15,18,0.9988455357066628,12,Aleatória
0,27,23,2,2,40,1.2857142857142858,1.15,4,0,32,0,21,20,17,0.9953784385316868,6,Humana
-1,25,25,4,4,23,2.0833333333333335,2.0833333333333335,2,0,10,0,12,12,18,0.9999999997114609,13,Aleatória
0,27,23,5,3,28,1.8,1.6428571428571428,2,0,17,2,15,14,18,0.9953784385316868,12,Humana
0,29,21,6,3,28,1.9333333333333333,1.5,0,0,16,3,15,14,16,0.9814538947451146,14,Aleatória
0,31,19,8,4,19,3.1,1.9,0,0,7,4,10,10,17,0.9580420219377606,21,Aleatória
0,40,10,14,3,13,5.714285714285714,1.4285714285714286,0,0,7,11,7,7,14,0.7219280945988233,33,Humana
0,27,23,7,6,19,2.7,2.3,1,1,7,1,10,10,18,0.9953784385316868,17,Aleatória
0,28,22,9,7,24,2.3333333333333335,1.6923076923076923,2,1,18,2,12,13,18,0.9895875209335165,16,Humana
1,23,27,4,4,28,1.6428571428571428,1.8,4,0,20,0,14,15,17,0.9953784385316868,9,Humana
1,24,26,2,2,43,1.0909090909090908,1.1818181818181819,6,0,38,0,22,22,16,0.9988455357066628,2,Humana
1,22,28,3,4,27,1.5714285714285714,2.0,2,0,17,1,14,14,18,0.9895875209335165,8,Humana
0,28,22,2,2,36,1.4736842105263157,1.2222222222222223,3,0,24,0,19,18,16,0.9895875209335165,9,Humana
1,24,26,4,3,35,1.3333333333333333,1.4444444444444444,4,0,28,1,18,18,17,0.9988455357066628,6,Humana
1,24,26,4,4,25,1.8461538461538463,2.0,1,0,11,0,13,13,17,0.9988455357066628,11,Aleatória
0,31,19,6,4,24,2.3846153846153846,1.5833333333333333,0,0,13,2,13,12,18,0.9580420219377606,18,Aleatória
1,24,26,9,9,5,8.0,8.666666666666666,0,3,0,0,3,3,15,0.9988455357066628,21,Humana
1,21,29,4,8,23,1.75,2.4166666666666665,1,1,12,4,12,12,18,0.9814538947451146,9,Humana
1,21,29,3,5,29,1.4,1.9333333333333333,2,1,17,2,15,15,18,0.9814538947451146,6,Aleatória
0,28,22,6,5,28,1.8666666666666667,1.5714285714285714,1,1,19,1,15,14,18,0.9895875209335165,13,Aleatória
0,27,23,6,4,29,1.8,1.5333333333333334,3,0,20,2,15,15,17,0.9953784385316868,12,Humana
1,21,29,4,6,22,1.9090909090909092,2.4166666666666665,0,2,9,2,11,12,18,0.9814538947451146,10,Aleatória
1,21,29,5,7,20,1.9090909090909092,2.9,0,3,9,2,11,10,18,0.9814538947451146,10,Aleatória
1,24,26,4,7,18,2.4,2.888888888888889,0,2,5,3,10,9,18,0.9988455357066628,14,Aleatória
0,30,20,5,3,21,2.727272727272727,1.8181818181818181,0,0,9,2,11,11,17,0.9709505941661296,19,Humana
0,28,22,5,4,24,2.1538461538461537,1.8333333333333333,1,0,14,1,13,12,18,0.9895875209335165,15,Humana
-1,25,25,4,4,25,1.9230769230769231,1.9230769230769231,1,0,16,0,13,13,18,0.9999999997114609,12,Humana
1,24,26,8,6,26,1.8461538461538463,1.8571428571428572,2,1,17,2,13,14,18,0.9988455357066628,11,Aleatória
1,23,27,3,5,27,1.6428571428571428,1.9285714285714286,1,1,14,2,14,14,17,0.9953784385316868,9,Aleatória
0,47,3,17,1,6,11.75,1.0,0,0,3,16,4,3,12,0.32744491886593724,43,Humana
0,27,23,5,4,28,1.8,1.6428571428571428,2,0,18,1,15,14,18,0.9953784385316868,12,Humana
1,24,26,3,6,23,2.0,2.1666666666666665,1,1,10,3,12,12,18,0.9988455357066628,12,Aleatória
-1,25,25,4,6,24,2.0833333333333335,1.9230769230769231,1,1,12,2,12,13,18,0.9999999997114609,13,Aleatória
0,26,24,3,3,35,1.4444444444444444,1.3333333333333333,5,0,27,0,18,18,17,0.9988455357066628,8,Humana
0,26,24,6,7,17,2.888888888888889,2.6666666666666665,1,1,6,1,9,9,17,0.9988455357066628,17,Aleatória
0,26,24,6,7,18,2.888888888888889,2.4,0,1,6,1,9,10,16,0.9988455357066628,17,Aleatória
1,20,30,3,8,24,1.6666666666666667,2.3076923076923075,1,2,14,5,12,13,18,0.9709505941661296,8,Aleatória
1,21,29,4,6,19,2.1,2.9,0,1,6,2,10,10,17,0.9814538947451146,11,Aleatória
0,28,22,6,5,25,2.1538461538461537,1.6923076923076923,2,1,16,1,13,13,17,0.9895875209335165,15,Aleatória
0,30,20,5,4,21,2.727272727272727,1.8181818181818181,0,0,9,1,11,11,18,0.9709505941661296,19,Aleatória
0,27,23,7,4,25,2.076923076923077,1.7692307692307692,0,0,12,3,13,13,18,0.9953784385316868,14,Aleatória
0,29,21,4,3,30,1.8125,1.4,1,0,19,1,16,15,17,0.9814538947451146,13,Aleatória
0,29,21,5,5,32,1.8125,1.2352941176470589,2,1,22,0,16,17,17,0.9814538947451146,13,Humana
1,23,27,4,4,30,1.4375,1.8,1,0,19,0,16,15,17,0.9953784385316868,7,Aleatória
1,24,26,5,4,34,1.411764705882353,1.4444444444444444,5,0,30,1,17,18,17,0.9988455357066628,7,Humana
0,27,23,6,4,21,2.4545454545454546,2.090909090909091,0,0,8,2,11,11,18,0.9953784385316868,16,Aleatória
0,41,9,5,1,18,4.1,1.0,0,0,9,4,10,9,14,0.6800770454397409,31,Humana
0,27,23,4,3,34,1.588235294117647,1.2777777777777777,2,0,25,1,17,18,17,0.9953784385316868,10,Humana
1,24,26,4,4,26,1.7142857142857142,2.0,1,0,14,0,14,13,18,0.9988455357066628,10,Aleatória
0,29,21,7,3,26,2.230769230769231,1.5,1,0,13,4,13,14,18,0.9814538947451146,16,Aleatória
-1,25,25,3,5,28,1.6666666666666667,1.7857142857142858,1,1,13,2,15,14,18,0.9999999997114609,10,Humana
1,22,28,3,6,28,1.4666666666666666,2.0,2,1,15,3,15,14,16,0.9895875209335165,7,Aleatória
1,24,26,5,5,36,1.263157894736842,1.4444444444444444,5,1,32,0,19,18,17,0.9988455357066628,5,Humana
1,22,28,6,4,24,1.8333333333333333,2.1538461538461537,0,0,10,2,12,13,18,0.9895875209335165,10,Aleatória
-1,25,25,3,4,32,1.5625,1.4705882352941178,2,0,21,1,16,17,18,0.9999999997114609,9,Humana
0,30,20,9,4,26,2.142857142857143,1.5384615384615385,2,0,18,5,14,13,18,0.9709505941661296,16,Humana
1,23,27,4,4,25,1.7692307692307692,2.076923076923077,1,0,9,0,13,13,18,0.9953784385316868,10,Aleatória
-1,25,25,4,3,30,1.5625,1.6666666666666667,1,0,17,1,16,15,18,0.9999999997114609,9,Aleatória
1,23,27,3,5,39,1.15,1.35,6,1,34,2,20,20,15,0.9953784385316868,3,Humana
1,24,26,7,3,23,2.0,2.1666666666666665,1,0,11,4,12,12,18,0.9988455357066628,12,Aleatória
0,26,24,5,4,25,2.0,1.8461538461538463,0,0,10,1,13,13,18,0.9988455357066628,13,Aleatória
1,24,26,6,10,28,1.7142857142857142,1.7333333333333334,2,2,22,4,14,15,18,0.9988455357066628,10,Humana
0,26,24,4,4,30,1.7333333333333334,1.5,1,0,20,0,15,16,18,0.9988455357066628,11,Humana
1,24,26,3,4,30,1.5,1.7333333333333334,2,0,17,1,16,15,18,0.9988455357066628,8,Aleatória
1,17,33,3,7,24,1.3076923076923077,2.75,2,2,14,4,13,12,17,0.924818704684491,4,Aleatória
1,24,26,5,5,26,1.8461538461538463,1.8571428571428572,1,1,15,0,13,14,18,0.9988455357066628,11,Aleatória
0,26,24,4,3,27,1.8571428571428572,1.7142857142857142,3,0,16,1,14,14,17,0.9988455357066628,12,Humana
-1,25,25,2,3,40,1.25,1.1904761904761905,5,0,33,1,20,21,15,0.9999999997114609,5,Humana
0,26,24,3,5,31,1.625,1.5,2,1,18,2,16,16,17,0.9988455357066628,10,Aleatória
0,26,24,3,5,36,1.368421052631579,1.3333333333333333,5,1,31,2,19,18,17,0.9988455357066628,7,Humana
1,24,26,6,5,22,2.1818181818181817,2.1666666666666665,0,1,9,1,11,12,18,0.9988455357066628,13,Aleatória
1,24,26,5,4,27,1.7142857142857142,1.8571428571428572,1,0,16,1,14,14,18,0.9988455357066628,10,Aleatória
0,26,24,5,5,23,2.1666666666666665,2.0,1,1,9,0,12,12,17,0.9988455357066628,14,Aleatória
0,27,23,4,3,36,1.4210526315789473,1.2777777777777777,4,0,29,1,19,18,17,0.9953784385316868,8,Humana
1,23,27,4,9,30,1.5333333333333334,1.6875,2,1,21,5,15,16,18,0.9953784385316868,8,Humana
0,30,20,7,6,13,4.285714285714286,2.857142857142857,1,3,6,1,7,7,17,0.9709505941661296,23,Humana
0,26,24,5,6,25,2.0,1.8461538461538463,3,1,16,1,13,13,18,0.9988455357066628,13,Humana
0,26,24,4,4,29,1.7333333333333334,1.6,4,0,21,0,15,15,18,0.9988455357066628,11,Humana
0,26,24,2,2,42,1.1818181818181819,1.1428571428571428,5,0,36,0,22,21,15,0.9988455357066628,4,Humana
0,28,22,3,3,36,1.4736842105263157,1.2222222222222223,3,0,27,0,19,18,17,0.9895875209335165,9,Humana
-1,25,25,1,1,49,1.0,1.0,8,0,50,0,25,25,14,0.9999999997114609,0,Humana
0,26,24,4,3,38,1.368421052631579,1.2,5,0,33,1,19,20,17,0.9988455357066628,7,Humana
0,27,23,5,4,27,1.9285714285714286,1.6428571428571428,3,0,18,1,14,14,17,0.9953784385316868,13,Humana
-1,25,25,4,5,27,1.7857142857142858,1.7857142857142858,1,1,16,1,14,14,18,0.9999999997114609,11,Aleatória
1,24,26,3,3,33,1.411764705882353,1.5294117647058822,2,0,22,0,17,17,18,0.9988455357066628,7,Humana
1,24,26,3,3,34,1.3333333333333333,1.5294117647058822,3,0,24,0,18,17,17,0.9988455357066628,6,Aleatória
1,24,26,3,4,26,1.7142857142857142,2.0,0,0,12,1,14,13,18,0.9988455357066628,10,Humana
0,29,21,5,4,29,1.9333333333333333,1.4,2,0,20,1,15,15,18,0.9814538947451146,14,Humana
1,23,27,3,4,27,1.6428571428571428,1.9285714285714286,1,0,13,1,14,14,18,0.9953784385316868,9,Aleatória
1,24,26,3,7,34,1.3333333333333333,1.5294117647058822,3,1,27,4,18,17,16,0.9988455357066628,6,Humana
0,26,24,4,4,27,1.8571428571428572,1.7142857142857142,1,0,15,0,14,14,18,0.9988455357066628,12,Aleatória
0,27,23,3,2,40,1.2857142857142858,1.15,4,0,33,1,21,20,15,0.9953784385316868,6,Humana
1,22,28,4,7,23,1.8333333333333333,2.3333333333333335,1,1,12,3,12,12,18,0.9895875209335165,10,Aleatória
0,28,22,3,3,36,1.4736842105263157,1.2222222222222223,3,0,27,0,19,18,18,0.9895875209335165,9,Humana
1,23,27,3,4,24,1.7692307692307692,2.25,1,0,12,1,13,12,17,0.9953784385316868,10,Aleatória
1,22,28,4,5,26,1.6923076923076923,2.0,1,1,13,1,13,14,17,0.9895875209335165,9,Aleatória
0,27,23,5,4,22,2.25,2.090909090909091,0,0,11,1,12,11,18,0.9953784385316868,15,Aleatória
0,26,24,2,1,48,1.04,1.0,7,0,48,1,25,24,14,0.9988455357066628,1,Humana
-1,25,25,18,18,13,3.5714285714285716,3.5714285714285716,1,3,10,0,7,7,17,0.9999999997114609,18,Humana
0,27,23,3,5,31,1.6875,1.4375,2,1,22,2,16,16,18,0.9953784385316868,11,Humana
0,28,22,4,3,27,2.0,1.5714285714285714,1,0,14,1,14,14,18,0.9895875209335165,14,Humana
0,28,22,4,4,26,2.0,1.6923076923076923,0,0,12,0,14,13,17,0.9895875209335165,14,Aleatória
1,19,31,3,12,20,1.7272727272727273,3.1,0,3,9,9,11,10,17,0.9580420219377606,8,Aleatória
-1,25,25,4,6,25,1.9230769230769231,1.9230769230769231,0,1,12,2,13,13,17,0.9999999997114609,12,Aleatória
-1,25,25,5,7,24,1.9230769230769231,2.0833333333333335,1,1,12,2,13,12,18,0.9999999997114609,12,Aleatória
1,23,27,4,6,22,2.090909090909091,2.25,1,2,11,2,11,12,18,0.9953784385316868,12,Aleatória
1,24,26,5,5,19,2.4,2.6,1,2,6,0,10,10,17,0.9988455357066628,14,Aleatória
0,27,23,5,4,15,3.375,2.875,0,0,3,1,8,8,17,0.9953784385316868,19,Humana
0,26,24,4,5,24,2.0,2.0,0,1,11,1,13,12,18,0.9988455357066628,13,Aleatória
-1,25,25,3,4,32,1.4705882352941178,1.5625,4,0,22,1,17,16,18,0.9999999997114609,8,Humana
1,20,30,4,6,22,1.8181818181818181,2.5,1,2,8,2,11,12,18,0.9709505941661296,9,Aleatória
1,20,30,3,14,28,1.3333333333333333,2.142857142857143,4,2,23,11,15,14,16,0.9709505941661296,5,Humana
1,24,26,5,3,28,1.7142857142857142,1.7333333333333334,2,0,15,2,14,15,17,0.9988455357066628,10,Aleatória
0,31,19,7,4,32,1.8235294117647058,1.1875,4,0,26,3,17,16,17,0.9580420219377606,14,Humana
0,28,22,4,4,26,2.0,1.6923076923076923,1,0,16,0,14,13,18,0.9895875209335165,14,Aleatória
1,22,28,4,9,19,2.2,2.8,1,1,6,5,10,10,16,0.9895875209335165,12,Aleatória
1,23,27,4,7,25,1.7692307692307692,2.076923076923077,1,1,13,3,13,13,18,0.9953784385316868,10,Aleatória
1,24,26,4,5,22,2.0,2.3636363636363638,0,1,7,1,12,11,18,0.9988455357066628,12,Aleatória
1,20,30,5,6,25,1.5384615384615385,2.3076923076923075,2,1,16,1,13,13,17,0.9709505941661296,7,Aleatória
1,22,28,4,6,27,1.5714285714285714,2.0,1,1,14,2,14,14,18,0.9895875209335165,8,Aleatória
-1,25,25,4,7,23,2.0833333333333335,2.0833333333333335,1,1,12,3,12,12,18,0.9999999997114609,13,Humana
1,23,27,3,4,33,1.3529411764705883,1.588235294117647,3,0,24,1,17,17,17,0.9953784385316868,6,Humana
0,28,22,6,5,25,2.1538461538461537,1.6923076923076923,0,1,16,1,13,13,18,0.9895875209335165,15,Aleatória
-1,25,25,4,3,32,1.5625,1.4705882352941178,2,0,22,1,16,17,17,0.9999999997114609,9,Humana
0,27,23,7,5,26,2.076923076923077,1.6428571428571428,1,1,16,2,13,14,18,0.9953784385316868,14,Aleatória
0,27,23,3,3,39,1.35,1.15,4,0,33,0,20,20,16,0.9953784385316868,7,Humana
0,27,23,4,4,35,1.5,1.2777777777777777,4,0,27,0,18,18,17,0.9953784385316868,9,Humana
0,27,23,6,5,25,2.076923076923077,1.7692307692307692,2,1,14,1,13,13,18,0.9953784385316868,14,Aleatória
1,22,28,6,5,22,1.8333333333333333,2.5454545454545454,2,3,14,1,12,11,18,0.9895875209335165,10,Humana
-1,25,25,6,5,26,1.7857142857142858,1.9230769230769231,2,1,17,1,14,13,17,0.9999999997114609,11,Humana
0,28,22,8,7,23,2.3333333333333335,1.8333333333333333,0,1,14,1,12,12,18,0.9895875209335165,16,Aleatória
0,26,24,5,6,19,2.6,2.4,0,1,5,1,10,10,18,0.9988455357066628,16,Aleatória
0,26,24,3,4,41,1.2380952380952381,1.1428571428571428,6,0,38,1,21,21,16,0.9988455357066628,5,Humana
1,24,26,4,6,27,1.7142857142857142,1.8571428571428572,3,1,17,2,14,14,18,0.9988455357066628,10,Aleatória
0,32,18,5,3,29,2.1333333333333333,1.2,1,0,18,2,15,15,16,0.9426831889669534,17,Aleatória
1,24,26,8,7,19,2.4,2.6,2,1,7,1,10,10,18,0.9988455357066628,14,Aleatória
-1,25,25,5,4,25,1.9230769230769231,1.9230769230769231,1,0,12,1,13,13,18,0.9999999997114609,12,Aleatória
1,19,31,5,10,19,1.9,3.1,0,2,9,5,10,10,18,0.9580420219377606,9,Aleatória
0,29,21,2,3,38,1.45,1.105263157894737,1,0,29,1,20,19,17,0.9814538947451146,9,Humana
1,24,26,4,4,26,1.8461538461538463,1.8571428571428572,2,0,14,0,13,14,18,0.9988455357066628,11,Humana
1,23,27,6,5,23,1.9166666666666667,2.25,2,1,13,1,12,12,18,0.9953784385316868,11,Aleatória
1,23,27,7,10,19,2.3,2.7,0,2,7,3,10,10,17,0.9953784385316868,13,Aleatória
0,32,18,10,4,18,3.2,2.0,1,0,10,6,10,9,17,0.9426831889669534,22,Humana
1,24,26,4,3,30,1.6,1.625,2,0,19,1,15,16,16,0.9988455357066628,9,Aleatória
0,26,24,4,7,30,1.625,1.6,3,1,23,3,16,15,18,0.9988455357066628,10,Humana
0,26,24,7,6,27,1.8571428571428572,1.7142857142857142,2,1,17,1,14,14,18,0.9988455357066628,12,Humana
1,23,27,4,7,21,2.090909090909091,2.4545454545454546,0,2,11,3,11,11,18,0.9953784385316868,12,Aleatória
0,32,18,6,4,29,2.1333333333333333,1.2,0,0,20,2,15,15,18,0.9426831889669534,17,Humana
1,18,32,3,8,23,1.5,2.6666666666666665,2,2,12,5,12,12,17,0.9426831889669534,6,Aleatória
1,24,26,3,3,37,1.263157894736842,1.368421052631579,5,0,29,0,19,19,18,0.9988455357066628,5,Humana
1,23,27,3,5,41,1.0952380952380953,1.2857142857142858,6,1,38,2,21,21,15,0.9953784385316868,2,Humana
-1,25,25,5,5,31,1.5625,1.5625,3,1,22,0,16,16,18,0.9999999997114609,9,Humana
0,27,23,3,3,33,1.588235294117647,1.3529411764705883,0,0,21,0,17,17,17,0.9953784385316868,10,Aleatória
0,27,23,2,2,42,1.2272727272727273,1.0952380952380953,5,0,36,0,22,21,13,0.9953784385316868,5,Humana
-1,25,25,5,4,28,1.7857142857142858,1.6666666666666667,2,0,16,1,14,15,18,0.9999999997114609,11,Aleatória
-1,25,25,6,7,23,2.0833333333333335,2.0833333333333335,1,2,15,1,12,12,18,0.9999999997114609,13,Aleatória
-1,25,25,4,4,27,1.7857142857142858,1.7857142857142858,0,0,17,0,14,14,18,0.9999999997114609,11,Aleatória
1,21,29,5,7,24,1.6153846153846154,2.4166666666666665,0,1,13,2,13,12,18,0.9814538947451146,8,Aleatória
0,27,23,5,4,26,1.9285714285714286,1.7692307692307692,1,0,14,1,14,13,18,0.9953784385316868,13,Aleatória
1,19,31,2,7,35,1.0555555555555556,1.7222222222222223,5,2,30,5,18,18,17,0.9580420219377606,1,Humana
0,27,23,7,4,23,2.25,1.9166666666666667,0,0,9,3,12,12,17,0.9953784385316868,15,Aleatória
1,24,26,4,5,28,1.7142857142857142,1.7333333333333334,2,2,18,1,14,15,18,0.9988455357066628,10,Aleatória
0,27,23,4,2,44,1.173913043478261,1.0454545454545454,6,0,42,2,23,22,15,0.9953784385316868,4,Humana
0,29,21,4,3,29,1.9333333333333333,1.4,1,0,15,1,15,15,17,0.9814538947451146,14,Aleatória
1,24,26,6,4,22,2.0,2.3636363636363638,1,0,12,2,12,11,18,0.9988455357066628,12,Aleatória
0,30,20,5,5,27,2.142857142857143,1.4285714285714286,2,1,18,0,14,14,17,0.9709505941661296,16,Humana
-1,25,25,3,10,32,1.4705882352941178,1.5625,3,2,25,7,17,16,17,0.9999999997114609,8,Humana
0,26,24,2,3,44,1.1304347826086956,1.0909090909090908,5,0,41,1,23,22,16,0.9988455357066628,3,Humana
0,32,18,7,2,34,1.7777777777777777,1.0588235294117647,4,0,28,5,18,17,17,0.9426831889669534,14,Humana
0,27,23,6,4,35,1.5,1.2777777777777777,4,0,30,2,18,18,17,0.9953784385316868,9,Humana
0,26,24,3,4,26,1.8571428571428572,1.8461538461538463,2,0,15,1,14,13,18,0.9988455357066628,12,Aleatória
